"","OBS","TOTBILL","TIP","SEX","SMOKER","DAY","TIME","SIZE"
"1",1,16.9899997711182,1.00999999046326,"F","no","sun ","dinner ","2 "
"2",2,10.3400001525879,1.6599999666214,"M","no","sun ","dinner ","3 "
"3",3,21.0100002288818,3.5,"M","no","sun ","dinner ","3 "
"4",4,23.6800003051758,3.30999994277954,"M","no","sun ","dinner ","2 "
"5",5,24.5900001525879,3.60999989509583,"F","no","sun ","dinner ","4 "
"6",6,25.2900009155273,4.71000003814697,"M","no","sun ","dinner ","4 "
"7",7,8.77000045776367,2,"M","no","sun ","dinner ","2 "
"8",8,26.8799991607666,3.11999988555908,"M","no","sun ","dinner ","4 "
"9",9,15.0399999618530,1.96000003814697,"M","no","sun ","dinner ","2 "
"10",10,14.7799997329712,3.23000001907349,"M","no","sun ","dinner ","2 "
"11",11,10.2700004577637,1.71000003814697,"M","no","sun ","dinner ","2 "
"12",12,35.2599983215332,5,"F","no","sun ","dinner ","4 "
"13",13,15.4200000762939,1.57000005245209,"M","no","sun ","dinner ","2 "
"14",14,18.4300003051758,3,"M","no","sun ","dinner ","4 "
"15",15,14.8299999237061,3.01999998092651,"F","no","sun ","dinner ","2 "
"16",16,21.5799999237061,3.92000007629395,"M","no","sun ","dinner ","2 "
"17",17,10.3299999237061,1.66999995708466,"F","no","sun ","dinner ","3 "
"18",18,16.2900009155273,3.71000003814697,"M","no","sun ","dinner ","3 "
"19",19,16.9699993133545,3.5,"F","no","sun ","dinner ","3 "
"20",20,20.6499996185303,3.34999990463257,"M","no","sat ","dinner ","3 "
"21",21,17.9200000762939,4.07999992370605,"M","no","sat ","dinner ","2 "
"22",22,20.2900009155273,2.75,"F","no","sat ","dinner ","2 "
"23",23,15.7700004577637,2.23000001907349,"F","no","sat ","dinner ","2 "
"24",24,39.4199981689453,7.57999992370605,"M","no","sat ","dinner ","4 "
"25",25,19.8199996948242,3.1800000667572,"M","no","sat ","dinner ","2 "
"26",26,17.8099994659424,2.33999991416931,"M","no","sat ","dinner ","4 "
"27",27,13.3699998855591,2,"M","no","sat ","dinner ","2 "
"28",28,12.6899995803833,2,"M","no","sat ","dinner ","2 "
"29",29,21.7000007629395,4.30000019073486,"M","no","sat ","dinner ","2 "
"30",30,19.6499996185303,3,"F","no","sat ","dinner ","2 "
"31",31,9.55000019073486,1.45000004768372,"M","no","sat ","dinner ","2 "
"32",32,18.3500003814697,2.5,"M","no","sat ","dinner ","4 "
"33",33,15.0600004196167,3,"F","no","sat ","dinner ","2 "
"34",34,20.6900005340576,2.45000004768372,"F","no","sat ","dinner ","4 "
"35",35,17.7800006866455,3.26999998092651,"M","no","sat ","dinner ","2 "
"36",36,24.0599994659424,3.59999990463257,"M","no","sat ","dinner ","3 "
"37",37,16.3099994659424,2,"M","no","sat ","dinner ","3 "
"38",38,16.9300003051758,3.0699999332428,"F","no","sat ","dinner ","3 "
"39",39,18.6900005340576,2.30999994277954,"M","no","sat ","dinner ","3 "
"40",40,31.2700004577637,5,"M","no","sat ","dinner ","3 "
"41",41,16.0400009155273,2.24000000953674,"M","no","sat ","dinner ","3 "
"42",42,17.4599990844727,2.53999996185303,"M","no","sun ","dinner ","2 "
"43",43,13.9399995803833,3.05999994277954,"M","no","sun ","dinner ","2 "
"44",44,9.68000030517578,1.32000005245209,"M","no","sun ","dinner ","2 "
"45",45,30.3999996185303,5.59999990463257,"M","no","sun ","dinner ","4 "
"46",46,18.2900009155273,3,"M","no","sun ","dinner ","2 "
"47",47,22.2299995422363,5,"M","no","sun ","dinner ","2 "
"48",48,32.4000015258789,6,"M","no","sun ","dinner ","4 "
"49",49,28.5499992370605,2.04999995231628,"M","no","sun ","dinner ","3 "
"50",50,18.0400009155273,3,"M","no","sun ","dinner ","2 "
"51",51,12.5399999618530,2.5,"M","no","sun ","dinner ","2 "
"52",52,10.2899999618530,2.59999990463257,"F","no","sun ","dinner ","2 "
"53",53,34.810001373291,5.19999980926514,"F","no","sun ","dinner ","4 "
"54",54,9.9399995803833,1.55999994277954,"M","no","sun ","dinner ","2 "
"55",55,25.5599994659424,4.34000015258789,"M","no","sun ","dinner ","4 "
"56",56,19.4899997711182,3.50999999046326,"M","no","sun ","dinner ","2 "
"57",57,38.0099983215332,3,"M","yes","sat ","dinner ","4 "
"58",58,26.4099998474121,1.5,"F","no","sat ","dinner ","2 "
"59",59,11.2399997711182,1.75999999046326,"M","yes","sat ","dinner ","2 "
"60",60,48.2700004577637,6.73000001907349,"M","no","sat ","dinner ","4 "
"61",61,20.2900009155273,3.21000003814697,"M","yes","sat ","dinner ","2 "
"62",62,13.8100004196167,2,"M","yes","sat ","dinner ","2 "
"63",63,11.0200004577637,1.98000001907349,"M","yes","sat ","dinner ","2 "
"64",64,18.2900009155273,3.75999999046326,"M","yes","sat ","dinner ","4 "
"65",65,17.5900001525879,2.64000010490417,"M","no","sat ","dinner ","3 "
"66",66,20.0799999237061,3.15000009536743,"M","no","sat ","dinner ","3 "
"67",67,16.4500007629395,2.47000002861023,"F","no","sat ","dinner ","2 "
"68",68,3.0699999332428,1,"F","yes","sat ","dinner ","1 "
"69",69,20.2299995422363,2.00999999046326,"M","no","sat ","dinner ","2 "
"70",70,15.0100002288818,2.08999991416931,"M","yes","sat ","dinner ","2 "
"71",71,12.0200004577637,1.97000002861023,"M","no","sat ","dinner ","2 "
"72",72,17.0699996948242,3,"F","no","sat ","dinner ","3 "
"73",73,26.8600006103516,3.14000010490417,"F","yes","sat ","dinner ","2 "
"74",74,25.2800006866455,5,"F","yes","sat ","dinner ","2 "
"75",75,14.7299995422363,2.20000004768372,"F","no","sat ","dinner ","2 "
"76",76,10.5100002288818,1.25,"M","no","sat ","dinner ","2 "
"77",77,17.9200000762939,3.07999992370605,"M","yes","sat ","dinner ","2 "
"78",78,27.2000007629395,4,"M","no","thurs ","lunch ","4 "
"79",79,22.7600002288818,3,"M","no","thurs ","lunch ","2 "
"80",80,17.2900009155273,2.71000003814697,"M","no","thurs ","lunch ","2 "
"81",81,19.4400005340576,3,"M","yes","thurs ","lunch ","2 "
"82",82,16.6599998474121,3.40000009536743,"M","no","thurs ","lunch ","2 "
"83",83,10.0699996948242,1.83000004291534,"F","no","thurs ","lunch ","1 "
"84",84,32.6800003051758,5,"M","yes","thurs ","lunch ","2 "
"85",85,15.9799995422363,2.02999997138977,"M","no","thurs ","lunch ","2 "
"86",86,34.8300018310547,5.17000007629395,"F","no","thurs ","lunch ","4 "
"87",87,13.0299997329712,2,"M","no","thurs ","lunch ","2 "
"88",88,18.2800006866455,4,"M","no","thurs ","lunch ","2 "
"89",89,24.7099990844727,5.84999990463257,"M","no","thurs ","lunch ","2 "
"90",90,21.1599998474121,3,"M","no","thurs ","lunch ","2 "
"91",91,28.9699993133545,3,"M","yes","fri ","dinner ","2 "
"92",92,22.4899997711182,3.5,"M","no","fri ","dinner ","2 "
"93",93,5.75,1,"F","yes","fri ","dinner ","2 "
"94",94,16.3199996948242,4.30000019073486,"F","yes","fri ","dinner ","2 "
"95",95,22.75,3.25,"F","no","fri ","dinner ","2 "
"96",96,40.1699981689453,4.73000001907349,"M","yes","fri ","dinner ","4 "
"97",97,27.2800006866455,4,"M","yes","fri ","dinner ","2 "
"98",98,12.0299997329712,1.5,"M","yes","fri ","dinner ","2 "
"99",99,21.0100002288818,3,"M","yes","fri ","dinner ","2 "
"100",100,12.4600000381470,1.5,"M","no","fri ","dinner ","2 "
"101",101,11.3500003814697,2.5,"F","yes","fri ","dinner ","2 "
"102",102,15.3800001144409,3,"F","yes","fri ","dinner ","2 "
"103",103,44.2999992370605,2.5,"F","yes","sat ","dinner ","3 "
"104",104,22.4200000762939,3.48000001907349,"F","yes","sat ","dinner ","2 "
"105",105,20.9200000762939,4.07999992370605,"F","no","sat ","dinner ","2 "
"106",106,15.3599996566772,1.63999998569489,"M","yes","sat ","dinner ","2 "
"107",107,20.4899997711182,4.05999994277954,"M","yes","sat ","dinner ","2 "
"108",108,25.2099990844727,4.28999996185303,"M","yes","sat ","dinner ","2 "
"109",109,18.2399997711182,3.75999999046326,"M","no","sat ","dinner ","2 "
"110",110,14.3100004196167,4,"F","yes","sat ","dinner ","2 "
"111",111,14,3,"M","no","sat ","dinner ","2 "
"112",112,7.25,1,"F","no","sat ","dinner ","1 "
"113",113,38.0699996948242,4,"M","no","sun ","dinner ","3 "
"114",114,23.9500007629395,2.54999995231628,"M","no","sun ","dinner ","2 "
"115",115,25.7099990844727,4,"F","no","sun ","dinner ","3 "
"116",116,17.3099994659424,3.5,"F","no","sun ","dinner ","2 "
"117",117,29.9300003051758,5.07000017166138,"M","no","sun ","dinner ","4 "
"118",118,10.6499996185303,1.5,"F","no","thurs ","lunch ","2 "
"119",119,12.4300003051758,1.79999995231628,"F","no","thurs ","lunch ","2 "
"120",120,24.0799999237061,2.92000007629395,"F","no","thurs ","lunch ","4 "
"121",121,11.6899995803833,2.30999994277954,"M","no","thurs ","lunch ","2 "
"122",122,13.4200000762939,1.67999994754791,"F","no","thurs ","lunch ","2 "
"123",123,14.2600002288818,2.5,"M","no","thurs ","lunch ","2 "
"124",124,15.9499998092651,2,"M","no","thurs ","lunch ","2 "
"125",125,12.4799995422363,2.51999998092651,"F","no","thurs ","lunch ","2 "
"126",126,29.7999992370605,4.19999980926514,"F","no","thurs ","lunch ","6 "
"127",127,8.52000045776367,1.48000001907349,"M","no","thurs ","lunch ","2 "
"128",128,14.5200004577637,2,"F","no","thurs ","lunch ","2 "
"129",129,11.3800001144409,2,"F","no","thurs ","lunch ","2 "
"130",130,22.8199996948242,2.18000006675720,"M","no","thurs ","lunch ","3 "
"131",131,19.0799999237061,1.5,"M","no","thurs ","lunch ","2 "
"132",132,20.2700004577637,2.82999992370605,"F","no","thurs ","lunch ","2 "
"133",133,11.1700000762939,1.5,"F","no","thurs ","lunch ","2 "
"134",134,12.2600002288818,2,"F","no","thurs ","lunch ","2 "
"135",135,18.2600002288818,3.25,"F","no","thurs ","lunch ","2 "
"136",136,8.51000022888184,1.25,"F","no","thurs ","lunch ","2 "
"137",137,10.3299999237061,2,"F","no","thurs ","lunch ","2 "
"138",138,14.1499996185303,2,"F","no","thurs ","lunch ","2 "
"139",139,16,2,"M","yes","thurs ","lunch ","2 "
"140",140,13.1599998474121,2.75,"F","no","thurs ","lunch ","2 "
"141",141,17.4699993133545,3.5,"F","no","thurs ","lunch ","2 "
"142",142,34.2999992370605,6.69999980926514,"M","no","thurs ","lunch ","6 "
"143",143,41.189998626709,5,"M","no","thurs ","lunch ","5 "
"144",144,27.0499992370605,5,"F","no","thurs ","lunch ","6 "
"145",145,16.4300003051758,2.29999995231628,"F","no","thurs ","lunch ","2 "
"146",146,8.35000038146973,1.5,"F","no","thurs ","lunch ","2 "
"147",147,18.6399993896484,1.36000001430511,"F","no","thurs ","lunch ","3 "
"148",148,11.8699998855591,1.62999999523163,"F","no","thurs ","lunch ","2 "
"149",149,9.7799997329712,1.73000001907349,"M","no","thurs ","lunch ","2 "
"150",150,7.51000022888184,2,"M","no","thurs ","lunch ","2 "
"151",151,14.0699996948242,2.5,"M","no","sun ","dinner ","2 "
"152",152,13.1300001144409,2,"M","no","sun ","dinner ","2 "
"153",153,17.2600002288818,2.74000000953674,"M","no","sun ","dinner ","3 "
"154",154,24.5499992370605,2,"M","no","sun ","dinner ","4 "
"155",155,19.7700004577637,2,"M","no","sun ","dinner ","4 "
"156",156,29.8500003814697,5.1399998664856,"F","no","sun ","dinner ","5 "
"157",157,48.1699981689453,5,"M","no","sun ","dinner ","6 "
"158",158,25,3.75,"F","no","sun ","dinner ","4 "
"159",159,13.3900003433228,2.60999989509583,"F","no","sun ","dinner ","2 "
"160",160,16.4899997711182,2,"M","no","sun ","dinner ","4 "
"161",161,21.5,3.5,"M","no","sun ","dinner ","4 "
"162",162,12.6599998474121,2.5,"M","no","sun ","dinner ","2 "
"163",163,16.2099990844727,2,"F","no","sun ","dinner ","3 "
"164",164,13.8100004196167,2,"M","no","sun ","dinner ","2 "
"165",165,17.5100002288818,3,"F","yes","sun ","dinner ","2 "
"166",166,24.5200004577637,3.48000001907349,"M","no","sun ","dinner ","3 "
"167",167,20.7600002288818,2.24000000953674,"M","no","sun ","dinner ","2 "
"168",168,31.7099990844727,4.5,"M","no","sun ","dinner ","4 "
"169",169,10.5900001525879,1.61000001430511,"F","yes","sat ","dinner ","2 "
"170",170,10.6300001144409,2,"F","yes","sat ","dinner ","2 "
"171",171,50.810001373291,10,"M","yes","sat ","dinner ","3 "
"172",172,15.8100004196167,3.16000008583069,"M","yes","sat ","dinner ","2 "
"173",173,7.25,5.15000009536743,"M","yes","sun ","dinner ","2 "
"174",174,31.8500003814697,3.1800000667572,"M","yes","sun ","dinner ","2 "
"175",175,16.8199996948242,4,"M","yes","sun ","dinner ","2 "
"176",176,32.9000015258789,3.10999989509583,"M","yes","sun ","dinner ","2 "
"177",177,17.8899993896484,2,"M","yes","sun ","dinner ","2 "
"178",178,14.4799995422363,2,"M","yes","sun ","dinner ","2 "
"179",179,9.60000038146973,4,"F","yes","sun ","dinner ","2 "
"180",180,34.6300010681152,3.54999995231628,"M","yes","sun ","dinner ","2 "
"181",181,34.6500015258789,3.6800000667572,"M","yes","sun ","dinner ","4 "
"182",182,23.3299999237061,5.65000009536743,"M","yes","sun ","dinner ","2 "
"183",183,45.3499984741211,3.5,"M","yes","sun ","dinner ","3 "
"184",184,23.1700000762939,6.5,"M","yes","sun ","dinner ","4 "
"185",185,40.5499992370605,3,"M","yes","sun ","dinner ","2 "
"186",186,20.6900005340576,5,"M","no","sun ","dinner ","5 "
"187",187,20.8999996185303,3.5,"F","yes","sun ","dinner ","3 "
"188",188,30.4599990844727,2,"M","yes","sun ","dinner ","5 "
"189",189,18.1499996185303,3.5,"F","yes","sun ","dinner ","3 "
"190",190,23.1000003814697,4,"M","yes","sun ","dinner ","3 "
"191",191,15.6899995803833,1.5,"M","yes","sun ","dinner ","2 "
"192",192,19.8099994659424,4.19000005722046,"F","yes","thurs ","lunch ","2 "
"193",193,28.4400005340576,2.55999994277954,"M","yes","thurs ","lunch ","2 "
"194",194,15.4799995422363,2.01999998092651,"M","yes","thurs ","lunch ","2 "
"195",195,16.5799999237061,4,"M","yes","thurs ","lunch ","2 "
"196",196,7.55999994277954,1.44000005722046,"M","no","thurs ","lunch ","2 "
"197",197,10.3400001525879,2,"M","yes","thurs ","lunch ","2 "
"198",198,43.1100006103516,5,"F","yes","thurs ","lunch ","4 "
"199",199,13,2,"F","yes","thurs ","lunch ","2 "
"200",200,13.5100002288818,2,"M","yes","thurs ","lunch ","2 "
"201",201,18.7099990844727,4,"M","yes","thurs ","lunch ","3 "
"202",202,12.7399997711182,2.00999999046326,"F","yes","thurs ","lunch ","2 "
"203",203,13,2,"F","yes","thurs ","lunch ","2 "
"204",204,16.3999996185303,2.5,"F","yes","thurs ","lunch ","2 "
"205",205,20.5300006866455,4,"M","yes","thurs ","lunch ","4 "
"206",206,16.4699993133545,3.23000001907349,"F","yes","thurs ","lunch ","3 "
"207",207,26.5900001525879,3.41000008583069,"M","yes","sat ","dinner ","3 "
"208",208,38.7299995422363,3,"M","yes","sat ","dinner ","4 "
"209",209,24.2700004577637,2.02999997138977,"M","yes","sat ","dinner ","2 "
"210",210,12.7600002288818,2.23000001907349,"F","yes","sat ","dinner ","2 "
"211",211,30.0599994659424,2,"M","yes","sat ","dinner ","3 "
"212",212,25.8899993896484,5.15999984741211,"M","yes","sat ","dinner ","4 "
"213",213,48.3300018310547,9,"M","no","sat ","dinner ","4 "
"214",214,13.2700004577637,2.5,"F","yes","sat ","dinner ","2 "
"215",215,28.1700000762939,6.5,"F","yes","sat ","dinner ","3 "
"216",216,12.8999996185303,1.10000002384186,"F","yes","sat ","dinner ","2 "
"217",217,28.1499996185303,3,"M","yes","sat ","dinner ","5 "
"218",218,11.5900001525879,1.5,"M","yes","sat ","dinner ","2 "
"219",219,7.73999977111816,1.44000005722046,"M","yes","sat ","dinner ","2 "
"220",220,30.1399993896484,3.08999991416931,"F","yes","sat ","dinner ","4 "
"221",221,12.1599998474121,2.20000004768372,"M","yes","fri ","lunch ","2 "
"222",222,13.4200000762939,3.48000001907349,"F","yes","fri ","lunch ","2 "
"223",223,8.57999992370605,1.91999995708466,"M","yes","fri ","lunch ","1 "
"224",224,15.9799995422363,3,"F","no","fri ","lunch ","3 "
"225",225,13.4200000762939,1.58000004291534,"M","yes","fri ","lunch ","2 "
"226",226,16.2700004577637,2.5,"F","yes","fri ","lunch ","2 "
"227",227,10.0900001525879,2,"F","yes","fri ","lunch ","2 "
"228",228,20.4500007629395,3,"M","no","sat ","dinner ","4 "
"229",229,13.2799997329712,2.72000002861023,"M","no","sat ","dinner ","2 "
"230",230,22.1200008392334,2.88000011444092,"F","yes","sat ","dinner ","2 "
"231",231,24.0100002288818,2,"M","yes","sat ","dinner ","4 "
"232",232,15.6899995803833,3,"M","yes","sat ","dinner ","3 "
"233",233,11.6099996566772,3.39000010490417,"M","no","sat ","dinner ","2 "
"234",234,10.7700004577637,1.47000002861023,"M","no","sat ","dinner ","2 "
"235",235,15.5299997329712,3,"M","yes","sat ","dinner ","2 "
"236",236,10.0699996948242,1.25,"M","no","sat ","dinner ","2 "
"237",237,12.6000003814697,1,"M","yes","sat ","dinner ","2 "
"238",238,32.8300018310547,1.16999995708466,"M","yes","sat ","dinner ","2 "
"239",239,35.8300018310547,4.67000007629395,"F","no","sat ","dinner ","3 "
"240",240,29.0300006866455,5.92000007629395,"M","no","sat ","dinner ","3 "
"241",241,27.1800003051758,2,"F","yes","sat ","dinner ","2 "
"242",242,22.6700000762939,2,"M","yes","sat ","dinner ","2 "
"243",243,17.8199996948242,1.75,"M","no","sat ","dinner ","2 "
"244",244,18.7800006866455,3,"F","no","thurs ","dinner ","2 "
