"lat","long","depth","mag","stations","letters"
-18.89,184.46,242,4.8, 36,"f"
-16.51,187.10, 62,4.9, 46,"g"
-20.10,186.30, 63,4.6, 19,"h"
-21.06,183.81,203,4.5, 34,"i"
-13.07,166.87,132,4.4, 24,"j"
-23.46,180.09,543,4.6, 28,"k"
-19.41,182.30,589,4.2, 19,"l"
-11.81,165.98, 51,4.7, 28,"m"
-11.76,165.96, 45,4.4, 51,"n"
-12.08,165.76, 63,4.5, 51,"o"
-25.59,180.02,485,4.9, 48,"p"
-26.54,183.63, 66,4.7, 34,"q"
-20.90,184.28, 58,5.5, 92,"r"
-16.99,187.00, 70,4.7, 30,"s"
-23.46,180.17,541,4.6, 32,"t"
-17.81,181.82,598,4.1, 14,"u"
-15.17,187.20, 50,4.7, 28,"v"
-11.67,166.02,102,4.6, 21,"w"
-20.75,184.52,144,4.3, 25,"x"
-19.50,186.90, 58,4.4, 20,"y"
-26.18,179.79,460,4.7, 44,"z"
-20.66,185.77, 69,4.3, 25,"a"
-19.22,182.54,570,4.1, 22,"b"
-24.68,183.33, 70,4.7, 30,"c"
-15.43,167.38,137,4.5, 16,"d"
-32.45,181.15, 41,5.5, 81,"e"
-21.31,180.84,586,4.5, 17,"f"
-15.44,167.18,140,4.6, 44,"g"
-13.26,167.01,213,5.1, 70,"h"
-15.26,183.13,393,4.4, 28,"i"
-33.57,180.80, 51,4.7, 35,"j"
-15.77,167.01, 64,5.5, 73,"k"
-15.79,166.83, 45,4.6, 39,"l"
-21.00,183.20,296,4.0, 16,"m"
-16.28,166.94, 50,4.6, 24,"n"
-23.28,184.60, 44,4.8, 34,"o"
-16.10,167.25, 68,4.7, 36,"p"
-17.70,181.31,549,4.7, 33,"q"
-15.96,166.69,150,4.2, 20,"r"
-15.95,167.34, 47,5.4, 87,"s"
-17.56,181.59,543,4.6, 34,"t"
-15.90,167.42, 40,5.5, 86,"u"
-15.29,166.90,100,4.2, 15,"v"
-15.86,166.85, 85,4.5, 22,"w"
-16.20,166.80, 98,4.5, 21,"x"
-15.71,166.91, 58,4.8, 20,"y"
-16.45,167.54,125,4.6, 18,"z"
-11.54,166.18, 89,5.4, 80,"a"
-19.61,181.91,590,4.6, 34,"b"
-15.61,187.15, 49,5.0, 30,"c"
-21.16,181.41,543,4.3, 17,"d"
-20.65,182.22,506,4.3, 24,"e"
-20.33,168.71, 40,4.8, 38,"f"
-15.08,166.62, 42,4.7, 23,"g"
-23.28,184.61, 76,4.7, 36,"h"
-23.44,184.60, 63,4.8, 27,"i"
-23.12,184.42,104,4.2, 17,"j"
-23.65,184.46, 93,4.2, 16,"k"
-22.91,183.95, 64,5.9,118,"l"
-22.06,180.47,587,4.6, 28,"m"
-13.56,166.49, 83,4.5, 25,"n"
-17.99,181.57,579,4.9, 49,"o"
-23.92,184.47, 40,4.7, 17,"p"
-30.69,182.10, 62,4.9, 25,"q"
-21.92,182.80,273,5.3, 78,"r"
-25.04,180.97,393,4.2, 21,"s"
-19.92,183.91,264,4.2, 23,"t"
-27.75,182.26,174,4.5, 18,"u"
-17.71,181.18,574,5.2, 67,"v"
-19.60,183.84,309,4.5, 23,"w"
-34.68,179.82, 75,5.6, 79,"x"
-14.46,167.26,195,5.2, 87,"y"
-18.85,187.55, 44,4.8, 35,"z"
-17.02,182.41,420,4.5, 29,"a"
-20.41,186.51, 63,5.0, 28,"b"
-18.18,182.04,609,4.4, 26,"c"
-16.49,187.80, 40,4.5, 18,"d"
-17.74,181.31,575,4.6, 42,"e"
-20.49,181.69,559,4.5, 24,"f"
-18.51,182.64,405,5.2, 74,"g"
-27.28,183.40, 70,5.1, 54,"h"
-15.90,167.16, 41,4.8, 42,"i"
-20.57,181.33,605,4.3, 18,"j"
-11.25,166.36,130,5.1, 55,"k"
-20.04,181.87,577,4.7, 19,"l"
-20.89,181.25,599,4.6, 20,"m"
-16.62,186.74, 82,4.8, 51,"n"
-20.09,168.75, 50,4.6, 23,"o"
-24.96,179.87,480,4.4, 25,"p"
-20.95,181.42,559,4.6, 27,"q"
-23.31,179.27,566,5.1, 49,"r"
-20.95,181.06,611,4.3, 20,"s"
-21.58,181.90,409,4.4, 19,"t"
-13.62,167.15,209,4.7, 30,"u"
-12.72,166.28, 70,4.8, 47,"v"
-21.79,185.00, 74,4.1, 15,"w"
-20.48,169.76,134,4.6, 33,"x"
-12.84,166.78,150,4.9, 35,"y"
-17.02,182.93,406,4.0, 17,"z"
-23.89,182.39,243,4.7, 32,"a"
-23.07,184.03, 89,4.7, 32,"b"
-27.98,181.96, 53,5.2, 89,"c"
-28.10,182.25, 68,4.6, 18,"d"
-21.24,180.81,605,4.6, 34,"e"
-21.24,180.86,615,4.9, 23,"f"
-19.89,174.46,546,5.7, 99,"g"
-32.82,179.80,176,4.7, 26,"h"
-22.00,185.50, 52,4.4, 18,"i"
-21.57,185.62, 66,4.9, 38,"j"
-24.50,180.92,377,4.8, 43,"k"
-33.03,180.20,186,4.6, 27,"l"
-30.09,182.40, 51,4.4, 18,"m"
-22.75,170.99, 67,4.8, 35,"n"
-17.99,168.98,234,4.7, 28,"o"
-19.60,181.87,597,4.2, 18,"p"
-15.65,186.26, 64,5.1, 54,"q"
-17.78,181.53,511,4.8, 56,"r"
-22.04,184.91, 47,4.9, 47,"s"
-20.06,168.69, 49,5.1, 49,"t"
-18.07,181.54,546,4.3, 28,"u"
-12.85,165.67, 75,4.4, 30,"v"
-33.29,181.30, 60,4.7, 33,"w"
-34.63,179.10,278,4.7, 24,"x"
-24.18,179.02,550,5.3, 86,"y"
-23.78,180.31,518,5.1, 71,"z"
-22.37,171.50,116,4.9, 38,"a"
-23.97,179.91,518,4.5, 23,"b"
-34.12,181.75, 75,4.7, 41,"c"
-25.25,179.86,491,4.2, 23,"d"
-22.87,172.65, 56,5.1, 50,"e"
-18.48,182.37,376,4.8, 57,"f"
-21.46,181.02,584,4.2, 18,"g"
-28.56,183.47, 48,4.8, 56,"h"
-28.56,183.59, 53,4.4, 20,"i"
-21.30,180.92,617,4.5, 26,"j"
-20.08,183.22,294,4.3, 18,"k"
-18.82,182.21,417,5.6,129,"l"
-19.51,183.97,280,4.0, 16,"m"
-12.05,167.39,332,5.0, 36,"n"
-17.40,186.54, 85,4.2, 28,"o"
-23.93,180.18,525,4.6, 31,"p"
-21.23,181.09,613,4.6, 18,"q"
-16.23,167.91,182,4.5, 28,"r"
-28.15,183.40, 57,5.0, 32,"s"
-20.81,185.01, 79,4.7, 42,"t"
-20.72,181.41,595,4.6, 36,"u"
-23.29,184.00,164,4.8, 50,"v"
-38.46,176.03,148,4.6, 44,"w"
-15.48,186.73, 82,4.4, 17,"x"
-37.03,177.52,153,5.6, 87,"y"
-20.48,181.38,556,4.2, 13,"z"
-18.12,181.88,649,5.4, 88,"a"
-18.17,181.98,651,4.8, 43,"b"
-11.40,166.07, 93,5.6, 94,"c"
-23.10,180.12,533,4.4, 27,"d"
-14.28,170.34,642,4.7, 29,"e"
-22.87,171.72, 47,4.6, 27,"f"
-17.59,180.98,548,5.1, 79,"g"
-27.60,182.10,154,4.6, 22,"h"
-17.94,180.60,627,4.5, 29,"i"
-17.88,180.58,622,4.2, 23,"j"
-30.01,180.80,286,4.8, 43,"k"
-19.19,182.30,390,4.9, 48,"l"
-18.14,180.87,624,5.5,105,"m"
-23.46,180.11,539,5.0, 41,"n"
-18.44,181.04,624,4.2, 21,"o"
-18.21,180.87,631,5.2, 69,"p"
-18.26,180.98,631,4.8, 36,"q"
-15.85,184.83,299,4.4, 30,"r"
-23.82,180.09,498,4.8, 40,"s"
-18.60,184.28,255,4.4, 31,"t"
-17.80,181.32,539,4.1, 12,"u"
-10.78,166.10,195,4.9, 45,"v"
-18.12,181.71,594,4.6, 24,"w"
-19.34,182.62,573,4.5, 32,"x"
-15.34,167.10,128,5.3, 18,"y"
-24.97,182.85,137,4.8, 40,"z"
-15.97,186.08,143,4.6, 41,"a"
-23.47,180.24,511,4.8, 37,"b"
-23.11,179.15,564,4.7, 17,"c"
-20.54,181.66,559,4.9, 50,"d"
-18.92,169.37,248,5.3, 60,"e"
-20.16,184.27,210,4.4, 27,"f"
-25.48,180.94,390,4.6, 33,"g"
-18.19,181.74,616,4.3, 17,"h"
-15.35,186.40, 98,4.4, 17,"i"
-18.69,169.10,218,4.2, 27,"j"
-18.89,181.24,655,4.1, 14,"k"
-17.61,183.32,356,4.2, 15,"l"
-20.93,181.54,564,5.0, 64,"m"
-17.60,181.50,548,4.1, 10,"n"
-17.96,181.40,655,4.3, 20,"o"
-18.80,182.41,385,5.2, 67,"p"
-20.61,182.44,518,4.2, 10,"q"
-20.74,181.53,598,4.5, 36,"r"
-25.23,179.86,476,4.4, 29,"s"
-23.90,179.90,579,4.4, 16,"t"
-18.07,181.58,603,5.0, 65,"u"
-15.43,185.19,249,4.0, 11,"v"
-14.30,167.32,208,4.8, 25,"w"
-18.04,181.57,587,5.0, 51,"x"
-13.90,167.18,221,4.2, 21,"y"
-17.64,177.01,545,5.2, 91,"z"
-17.98,181.51,586,5.2, 68,"a"
-25.00,180.00,488,4.5, 10,"b"
-19.45,184.48,246,4.3, 15,"c"
-16.11,187.48, 61,4.5, 19,"d"
-23.73,179.98,524,4.6, 11,"e"
-17.74,186.78,104,5.1, 71,"f"
-21.56,183.23,271,4.4, 36,"g"
-20.97,181.72,487,4.3, 16,"h"
-15.45,186.73, 83,4.7, 37,"i"
-15.93,167.91,183,5.6,109,"j"
-21.47,185.86, 55,4.9, 46,"k"
-21.44,170.45,166,5.1, 22,"l"
-22.16,180.49,586,4.6, 13,"m"
-13.36,172.76,618,4.4, 18,"n"
-21.22,181.51,524,4.8, 49,"o"
-26.10,182.50,133,4.2, 17,"p"
-18.35,185.27,201,4.7, 57,"q"
-17.20,182.90,383,4.1, 11,"r"
-22.42,171.40, 86,4.7, 33,"s"
-17.91,181.48,555,4.0, 17,"t"
-26.53,178.30,605,4.9, 43,"u"
-26.50,178.29,609,5.0, 50,"v"
-16.31,168.08,204,4.5, 16,"w"
-18.76,169.71,287,4.4, 23,"x"
-17.10,182.80,390,4.0, 14,"y"
-19.28,182.78,348,4.5, 30,"z"
-23.50,180.00,550,4.7, 23,"a"
-21.26,181.69,487,4.4, 20,"b"
-17.97,181.48,578,4.7, 43,"c"
-26.02,181.20,361,4.7, 32,"d"
-30.30,180.80,275,4.0, 14,"e"
-24.89,179.67,498,4.2, 14,"f"
-14.57,167.24,162,4.5, 18,"g"
-15.40,186.87, 78,4.7, 44,"h"
-22.06,183.95,134,4.5, 17,"i"
-25.14,178.42,554,4.1, 15,"j"
-20.30,181.40,608,4.6, 13,"k"
-25.28,181.17,367,4.3, 25,"l"
-20.63,181.61,599,4.6, 30,"m"
-19.02,186.83, 45,5.2, 65,"n"
-22.10,185.30, 50,4.6, 22,"o"
-38.59,175.70,162,4.7, 36,"p"
-19.30,183.00,302,5.0, 65,"q"
-31.03,181.59, 57,5.2, 49,"r"
-30.51,181.30,203,4.4, 20,"s"
-22.55,183.34, 66,4.6, 18,"t"
-22.14,180.64,591,4.5, 18,"u"
-25.60,180.30,440,4.0, 12,"v"
-18.04,181.84,611,4.2, 20,"w"
-21.29,185.77, 57,5.3, 69,"x"
-21.08,180.85,627,5.9,119,"y"
-20.64,169.66, 89,4.9, 42,"z"
-24.41,180.03,500,4.5, 34,"a"
-12.16,167.03,264,4.4, 14,"b"
-17.10,185.90,127,5.4, 75,"c"
-21.13,185.60, 85,5.3, 86,"d"
-12.34,167.43, 50,5.1, 47,"e"
-16.43,186.73, 75,4.1, 20,"f"
-20.70,184.30,182,4.3, 17,"g"
-21.18,180.92,619,4.5, 18,"h"
-17.78,185.33,223,4.1, 10,"i"
-21.57,183.86,156,5.1, 70,"j"
-13.70,166.75, 46,5.3, 71,"k"
-12.27,167.41, 50,4.5, 29,"l"
-19.10,184.52,230,4.1, 16,"m"
-19.85,184.51,184,4.4, 26,"n"
-11.37,166.55,188,4.7, 24,"o"
-20.70,186.30, 80,4.0, 10,"p"
-20.24,185.10, 86,5.1, 61,"q"
-16.40,182.73,391,4.0, 16,"r"
-19.60,184.53,199,4.3, 21,"s"
-21.63,180.77,592,4.3, 21,"t"
-21.60,180.50,595,4.0, 22,"u"
-21.77,181.00,618,4.1, 10,"v"
-21.80,183.60,213,4.4, 17,"w"
-21.05,180.90,616,4.3, 10,"x"
-10.80,165.80,175,4.2, 12,"y"
-17.90,181.50,589,4.0, 12,"z"
-22.26,171.44, 83,4.5, 25,"a"
-22.33,171.46,119,4.7, 32,"b"
-24.04,184.85, 70,5.0, 48,"c"
-20.40,186.10, 74,4.3, 22,"d"
-15.00,184.62, 40,5.1, 54,"e"
-27.87,183.40, 87,4.7, 34,"f"
-14.12,166.64, 63,5.3, 69,"g"
-23.61,180.27,537,5.0, 63,"h"
-21.56,185.50, 47,4.5, 29,"i"
-21.19,181.58,490,5.0, 77,"j"
-18.07,181.65,593,4.1, 16,"k"
-26.00,178.43,644,4.9, 27,"l"
-20.21,181.90,576,4.1, 16,"m"
-28.00,182.00,199,4.0, 16,"n"
-20.74,180.70,589,4.4, 27,"o"
-31.80,180.60,178,4.5, 19,"p"
-18.91,169.46,248,4.4, 33,"q"
-20.45,182.10,500,4.5, 37,"r"
-22.90,183.80, 71,4.3, 19,"s"
-18.11,181.63,568,4.3, 36,"t"
-23.80,184.70, 42,5.0, 36,"u"
-23.42,180.21,510,4.5, 37,"v"
-23.20,184.80, 97,4.5, 13,"w"
-12.93,169.52,663,4.4, 30,"x"
-21.14,181.06,625,4.5, 35,"y"
-19.13,184.97,210,4.1, 22,"z"
-21.08,181.30,557,4.9, 78,"a"
-20.07,181.75,582,4.7, 27,"b"
-20.90,182.02,402,4.3, 18,"c"
-25.04,179.84,474,4.6, 32,"d"
-21.85,180.89,577,4.6, 43,"e"
-19.34,186.59, 56,5.2, 49,"f"
-15.83,167.10, 43,4.5, 19,"g"
-23.73,183.00,118,4.3, 11,"h"
-18.10,181.72,544,4.6, 52,"i"
-22.12,180.49,532,4.0, 14,"j"
-15.39,185.10,237,4.5, 39,"k"
-16.21,186.52,111,4.8, 30,"l"
-21.75,180.67,595,4.6, 30,"m"
-22.10,180.40,603,4.1, 11,"n"
-24.97,179.54,505,4.9, 50,"o"
-19.36,186.36,100,4.7, 40,"p"
-22.14,179.62,587,4.1, 23,"q"
-21.48,182.44,364,4.3, 20,"r"
-18.54,168.93,100,4.4, 17,"s"
-21.62,182.40,350,4.0, 12,"t"
-13.40,166.90,228,4.8, 15,"u"
-15.50,185.30, 93,4.4, 25,"v"
-15.67,185.23, 66,4.4, 34,"w"
-21.78,183.11,225,4.6, 21,"x"
-30.63,180.90,334,4.2, 28,"y"
-15.70,185.10, 70,4.1, 15,"z"
-19.20,184.37,220,4.2, 18,"a"
-19.70,182.44,397,4.0, 12,"b"
-19.40,182.29,326,4.1, 15,"c"
-15.85,185.90,121,4.1, 17,"d"
-17.38,168.63,209,4.7, 29,"e"
-24.33,179.97,510,4.8, 44,"f"
-20.89,185.26, 54,5.1, 44,"g"
-18.97,169.44,242,5.0, 41,"h"
-17.99,181.62,574,4.8, 38,"i"
-15.80,185.25, 82,4.4, 39,"j"
-25.42,182.65,102,5.0, 36,"k"
-21.60,169.90, 43,5.2, 56,"l"
-26.06,180.05,432,4.2, 19,"m"
-17.56,181.23,580,4.1, 16,"n"
-25.63,180.26,464,4.8, 60,"o"
-25.46,179.98,479,4.5, 27,"p"
-22.23,180.48,581,5.0, 54,"q"
-21.55,181.39,513,5.1, 81,"r"
-15.18,185.93, 77,4.1, 16,"s"
-13.79,166.56, 68,4.7, 41,"t"
-15.18,167.23, 71,5.2, 59,"u"
-18.78,186.72, 68,4.8, 48,"v"
-17.90,181.41,586,4.5, 33,"w"
-18.50,185.40,243,4.0, 11,"x"
-14.82,171.17,658,4.7, 49,"y"
-15.65,185.17,315,4.1, 15,"z"
-30.01,181.15,210,4.3, 17,"a"
-13.16,167.24,278,4.3, 17,"b"
-21.03,180.78,638,4.0, 14,"c"
-21.40,180.78,615,4.7, 51,"d"
-17.93,181.89,567,4.1, 27,"e"
-20.87,181.70,560,4.2, 13,"f"
-12.01,166.66, 99,4.8, 36,"g"
-19.10,169.63,266,4.8, 31,"h"
-22.85,181.37,397,4.2, 15,"i"
-17.08,185.96,180,4.2, 29,"j"
-21.14,174.21, 40,5.7, 78,"k"
-12.23,167.02,242,6.0,132,"l"
-20.91,181.57,530,4.2, 20,"m"
-11.38,167.05,133,4.5, 32,"n"
-11.02,167.01, 62,4.9, 36,"o"
-22.09,180.58,580,4.4, 22,"p"
-17.80,181.20,530,4.0, 15,"q"
-18.94,182.43,566,4.3, 20,"r"
-18.85,182.20,501,4.2, 23,"s"
-21.91,181.28,548,4.5, 30,"t"
-22.03,179.77,587,4.8, 31,"u"
-18.10,181.63,592,4.4, 28,"v"
-18.40,184.84,221,4.2, 18,"w"
-21.20,181.40,560,4.2, 12,"x"
-12.00,166.20, 94,5.0, 31,"y"
-11.70,166.30,139,4.2, 15,"z"
-26.72,182.69,162,5.2, 64,"a"
-24.39,178.98,562,4.5, 30,"b"
-19.64,169.50,204,4.6, 35,"c"
-21.35,170.04, 56,5.0, 22,"d"
-22.82,184.52, 49,5.0, 52,"e"
-38.28,177.10,100,5.4, 71,"f"
-12.57,167.11,231,4.8, 28,"g"
-22.24,180.28,601,4.2, 21,"h"
-13.80,166.53, 42,5.5, 70,"i"
-21.07,183.78,180,4.3, 25,"j"
-17.74,181.25,559,4.1, 16,"k"
-23.87,180.15,524,4.4, 22,"l"
-21.29,185.80, 69,4.9, 74,"m"
-22.20,180.58,594,4.5, 45,"n"
-15.24,185.11,262,4.9, 56,"o"
-17.82,181.27,538,4.0, 33,"p"
-32.14,180.00,331,4.5, 27,"q"
-19.30,185.86, 48,5.0, 40,"r"
-33.09,180.94, 47,4.9, 47,"s"
-20.18,181.62,558,4.5, 31,"t"
-17.46,181.42,524,4.2, 16,"u"
-17.44,181.33,545,4.2, 37,"v"
-24.71,179.85,477,4.2, 34,"w"
-21.53,170.52,129,5.2, 30,"x"
-19.17,169.53,268,4.3, 21,"y"
-28.05,182.39,117,5.1, 43,"z"
-23.39,179.97,541,4.6, 50,"a"
-22.33,171.51,112,4.6, 14,"b"
-15.28,185.98,162,4.4, 36,"c"
-20.27,181.51,609,4.4, 32,"d"
-10.96,165.97, 76,4.9, 64,"e"
-21.52,169.75, 61,5.1, 40,"f"
-19.57,184.47,202,4.2, 28,"g"
-23.08,183.45, 90,4.7, 30,"h"
-25.06,182.80,133,4.0, 14,"i"
-17.85,181.44,589,5.6,115,"j"
-15.99,167.95,190,5.3, 81,"k"
-20.56,184.41,138,5.0, 82,"l"
-17.98,181.61,598,4.3, 27,"m"
-18.40,181.77,600,4.1, 11,"n"
-27.64,182.22,162,5.1, 67,"o"
-20.99,181.02,626,4.5, 36,"p"
-14.86,167.32,137,4.9, 22,"q"
-29.33,182.72, 57,5.4, 61,"r"
-25.81,182.54,201,4.7, 40,"s"
-14.10,166.01, 69,4.8, 29,"t"
-17.63,185.13,219,4.5, 28,"u"
-23.47,180.21,553,4.2, 23,"v"
-23.92,180.21,524,4.6, 50,"w"
-20.88,185.18, 51,4.6, 28,"x"
-20.25,184.75,107,5.6,121,"y"
-19.33,186.16, 44,5.4,110,"z"
-18.14,181.71,574,4.0, 20,"a"
-22.41,183.99,128,5.2, 72,"b"
-20.77,181.16,568,4.2, 12,"c"
-17.95,181.73,583,4.7, 57,"d"
-20.83,181.01,622,4.3, 15,"e"
-27.84,182.10,193,4.8, 27,"f"
-19.94,182.39,544,4.6, 30,"g"
-23.60,183.99,118,5.4, 88,"h"
-23.70,184.13, 51,4.8, 27,"i"
-30.39,182.40, 63,4.6, 22,"j"
-18.98,182.32,442,4.2, 22,"k"
-27.89,182.92, 87,5.5, 67,"l"
-23.50,184.90, 61,4.7, 16,"m"
-23.73,184.49, 60,4.7, 35,"n"
-17.93,181.62,561,4.5, 32,"o"
-35.94,178.52,138,5.5, 78,"p"
-18.68,184.50,174,4.5, 34,"q"
-23.47,179.95,543,4.1, 21,"r"
-23.49,180.06,530,4.0, 23,"s"
-23.85,180.26,497,4.3, 32,"t"
-27.08,183.44, 63,4.7, 27,"u"
-20.88,184.95, 82,4.9, 50,"v"
-20.97,181.20,605,4.5, 31,"w"
-21.71,183.58,234,4.7, 55,"x"
-23.90,184.60, 41,4.5, 22,"y"
-15.78,167.44, 40,4.8, 42,"z"
-12.57,166.72,137,4.3, 20,"a"
-19.69,184.23,223,4.1, 23,"b"
-22.04,183.95,109,5.4, 61,"c"
-17.99,181.59,595,4.1, 26,"d"
-23.50,180.13,512,4.8, 40,"e"
-21.40,180.74,613,4.2, 20,"f"
-15.86,166.98, 60,4.8, 25,"g"
-23.95,184.64, 43,5.4, 45,"h"
-25.79,182.38,172,4.4, 14,"i"
-23.75,184.50, 54,5.2, 74,"j"
-24.10,184.50, 68,4.7, 23,"k"
-18.56,169.05,217,4.9, 35,"l"
-23.30,184.68,102,4.9, 27,"m"
-17.03,185.74,178,4.2, 32,"n"
-20.77,183.71,251,4.4, 47,"o"
-28.10,183.50, 42,4.4, 17,"p"
-18.83,182.26,575,4.3, 11,"q"
-23.00,170.70, 43,4.9, 20,"r"
-20.82,181.67,577,5.0, 67,"s"
-22.95,170.56, 42,4.7, 21,"t"
-28.22,183.60, 75,4.9, 49,"u"
-27.99,183.50, 71,4.3, 22,"v"
-15.54,187.15, 60,4.5, 17,"w"
-12.37,166.93,291,4.2, 16,"x"
-22.33,171.66,125,5.2, 51,"y"
-22.70,170.30, 69,4.8, 27,"z"
-17.86,181.30,614,4.0, 12,"a"
-16.00,184.53,108,4.7, 33,"b"
-20.73,181.42,575,4.3, 18,"c"
-15.45,181.42,409,4.3, 27,"d"
-20.05,183.86,243,4.9, 65,"e"
-17.95,181.37,642,4.0, 17,"f"
-17.70,188.10, 45,4.2, 10,"g"
-25.93,179.54,470,4.4, 22,"h"
-12.28,167.06,248,4.7, 35,"i"
-20.13,184.20,244,4.5, 34,"j"
-17.40,187.80, 40,4.5, 14,"k"
-21.59,170.56,165,6.0,119,"l"
